23.0,76.0,13.0
15.0,48.0,18.0
26.0,93.0,14.0
27.0,108.0,8.0
9.0,13.0,8.0
6.0,9.0,8.0
95.0,23.0,8.0
96.0,23.0,7.0
97.0,24.0,8.0
8.0,10.0,5.0
7.0,9.0,9.0
8.0,9.0,6.0
107.0,40.0,14.0
107.0,41.0,17.0
107.0,41.0,15.0
7.0,10.0,6.0
9.0,12.0,10.0
86.0,30.0,10.0
86.0,29.0,11.0
86.0,30.0,11.0
10.0,11.0,7.0
8.0,11.0,7.0
7.0,11.0,8.0
7.0,8.0,6.0
9.0,11.0,7.0
7.0,11.0,9.0
9.0,11.0,9.0
7.0,10.0,6.0
6.0,8.0,6.0
8.0,12.0,8.0
7.0,9.0,7.0
8.0,10.0,9.0
7.0,9.0,6.0
8.0,13.0,8.0
8.0,11.0,9.0
8.0,12.0,9.0
7.0,10.0,9.0
7.0,12.0,7.0
10.0,11.0,7.0
10.0,14.0,9.0
9.0,12.0,10.0
62.0,21.0,14.0
62.0,23.0,15.0
62.0,22.0,14.0
7.0,10.0,7.0
10.0,11.0,6.0
9.0,12.0,8.0
8.0,11.0,9.0
8.0,13.0,8.0
9.0,13.0,9.0
8.0,10.0,7.0
7.0,11.0,6.0
5.0,8.0,6.0
102.0,40.0,17.0
102.0,39.0,17.0
106.0,43.0,16.0
8.0,9.0,5.0
9.0,11.0,7.0
8.0,10.0,7.0
10.0,14.0,9.0
8.0,10.0,7.0
11.0,9.0,7.0
7.0,12.0,7.0
6.0,10.0,7.0
8.0,11.0,8.0
93.0,35.0,16.0
93.0,36.0,17.0
98.0,38.0,17.0
8.0,10.0,6.0
7.0,12.0,7.0
8.0,10.0,8.0
8.0,9.0,5.0
7.0,9.0,7.0
8.0,13.0,8.0
7.0,12.0,8.0
7.0,10.0,8.0
105.0,37.0,14.0
106.0,40.0,15.0
106.0,40.0,14.0
7.0,10.0,7.0
9.0,12.0,10.0
6.0,10.0,6.0
7.0,11.0,8.0
23.0,76.0,13.0
15.0,48.0,18.0
26.0,93.0,14.0
27.0,108.0,8.0
