MapDist,Boolean Total,Fuzzy Total,Difference
MapDist1,0.1482233545534012,0.010214571497124427,-0.13800878305627676
MapDist2,1.2299362572590398,8.705353132951695e-14,-1.2299362572589527
MapDist4,0.9818347511772454,2.4972656892688554e-07,-0.9818345014506764
MapDist5,0.04679108598971773,2.0384367587378108e-09,-0.04679108395128097
MapDist6,1.3818592576793673,8.550856144132597e-14,-1.3818592576792819
MapDist7,0.42250423648976393,6.115765073211737e-14,-0.42250423648970276
MapDist8,1.7243415611982076,0.9775361555810553,-0.7468054056171523
MapDist9,0.8577694925006606,1.797452936312209e-06,-0.8577676950477243
MapDist10,1.0310269989756733,8.980220580296264e-14,-1.0310269989755836
MapDist11,0.9404530702019992,0.23757161172830418,-0.702881458473695
MapDist12,0.45264128720143265,1.9517034726192965e-07,-0.4526410920310854
MapDist13,1.5108760542050168,6.886713836118775e-09,-1.510876047318303
MapDist14,1.4168291596007028,6.768841491215655e-14,-1.416829159600635
MapDist15,0.2832356912388442,2.3683431866088773e-13,-0.28323569123860737
MapDist16,0.35608668075444116,1.7329433229625275e-14,-0.35608668075442385
MapDist17,0.12053480044228065,0.014425468348765793,-0.10610933209351486
MapDist18,0.9302003634901987,0.021470078732710524,-0.9087302847574882
MapDist19,1.679055056205816,1.6621690991820748e-15,-1.6790550562058144
MapDist20,0.1351259587896734,0.0010785596809327477,-0.13404739910874064
MapDist21,0.9204177538989038,0.0002675434043742359,-0.9201502104945296
MapDist22,0.2949603844177593,0.0031293529733480404,-0.29183103144441125
MapDist23,0.31869009741755433,1.1254560106575847e-13,-0.3186900974174418
MapDist24,1.4085748910009448,1.4829565514341265e-10,-1.4085748908526492
MapDist25,0.793890260770104,2.1121869566444257e-09,-0.7938902586579171
MapDist26,0.6834480152279511,1.062804034537583e-06,-0.6834469524239165
MapDist27,0.16442821448222752,1.0818044190707318e-10,-0.1644282143740471
MapDist28,0.6272160536778391,9.832572948082757e-14,-0.6272160536777407
MapDist29,0.7070812675539274,7.445506160337143e-14,-0.7070812675538529
MapDist30,1.5928628297019294,2.055041524799219e-06,-1.5928607746604047
MapDist31,2.363307670645483,0.5106267157196435,-1.8526809549258396
