MapDist,Boolean Total,Fuzzy Total,Difference
MapDist1,100.08187897796991,97.28203387483168,-2.7998451031382245
MapDist2,97.06070780340832,94.55247075470474,-2.5082370487035774
MapDist3,98.09837967847037,95.03394571487632,-3.064433963594041
MapDist4,100.46029391832836,97.48309236580343,-2.9772015525249316
MapDist5,101.86019020490292,99.02420557365095,-2.835984631251975
MapDist6,102.15501132448722,98.89450969194348,-3.260501632543736
MapDist7,97.99096656772082,95.86270588646767,-2.1282606812531526
MapDist8,99.10373810022905,96.34321498687828,-2.7605231133507715
MapDist9,98.20125267234675,95.29541660426419,-2.9058360680825643
MapDist10,101.31377280474476,98.01698850983126,-3.2967842949134933
MapDist11,102.25967530790236,99.09746901471684,-3.1622062931855197
MapDist12,97.085454878051,94.66189872276716,-2.4235561552838334
MapDist13,99.38419799441695,96.3556831767617,-3.0285148176552497
MapDist14,100.85888373014595,98.02705637941308,-2.8318273507328655
MapDist15,102.41004549457125,99.67840854968378,-2.7316369448874696
MapDist16,98.7510502660978,95.91321658554466,-2.837833680553146
MapDist17,98.77999860560655,95.98592468801235,-2.794073917594204
MapDist18,100.00166225219536,97.33404995316204,-2.6676122990333226
MapDist19,97.5543613695286,94.48815171444791,-3.066209655080698
MapDist20,98.96183422205667,96.22289104512497,-2.7389431769316985
MapDist21,103.43752420938364,100.57435637128214,-2.8631678381015035
MapDist22,100.48927972718087,97.63781120114956,-2.8514685260313115
MapDist23,97.57029205381106,94.88205872832957,-2.688233325481491
MapDist24,100.0635278556551,97.34957672354662,-2.713951132108477
MapDist25,99.25851630660195,96.45883692160629,-2.799679384995656
MapDist26,99.20796977747753,96.61433803479821,-2.593631742679321
MapDist27,96.35611454559842,93.3257558208758,-3.0303587247226176
MapDist28,99.97372412223973,97.61730373854672,-2.356420383693006
MapDist29,98.92982060927682,96.02715689560327,-2.9026637136735474
MapDist30,101.81312360399953,99.06378176237463,-2.749341841624897
MapDist31,118.12395786142793,115.33936423324859,-2.784593628179337
MapDist32,117.30327420065888,114.14741345368887,-3.1558607469700064
MapDist33,118.1210385646101,115.07166032506228,-3.0493782395478206
MapDist34,114.49482425425083,111.8689704153879,-2.6258538388629233
MapDist35,116.99796120024428,114.0852053554139,-2.9127558448303716
MapDist36,115.54561829231997,112.68436463654803,-2.8612536557719466
MapDist37,117.0931956033013,113.47510881910713,-3.618086784194162
MapDist38,114.55045345526857,111.625422291228,-2.9250311640405613
MapDist39,117.18525239970691,113.19995130506287,-3.9853010946440435
MapDist40,117.63056791443711,114.07237028559165,-3.5581976288454626
MapDist41,115.74569019439961,112.66203640143178,-3.083653792967837
MapDist42,118.82078338429055,115.61484655637909,-3.205936827911458
MapDist43,116.87783119347031,113.83179197166717,-3.0460392218031416
MapDist44,118.0670436217066,115.21803949246528,-2.8490041292413224
MapDist45,112.74883556557685,109.96894792530045,-2.7798876402763995
MapDist46,117.86805549495455,115.03800228928512,-2.8300532056694294
MapDist47,115.3082574594258,112.5365340763882,-2.7717233830376102
MapDist48,117.44890127402275,114.0937762916165,-3.355124982406238
MapDist49,115.14585040589716,112.26036614948829,-2.8854842564088727
MapDist50,114.00387328049555,110.99598259911116,-3.0078906813843957
MapDist51,117.19694854680611,113.88514005077614,-3.3118084960299683
MapDist52,116.460891839854,113.41335230239885,-3.047539537455151
MapDist53,115.90445710820359,112.53102226821541,-3.373434839988178
MapDist54,117.66744310938734,114.14407344883881,-3.523369660548525
MapDist55,116.9788346558197,114.44813102525455,-2.5307036305651422
MapDist56,116.75666380830103,113.15690402358531,-3.5997597847157152
MapDist57,114.20068168835297,111.765912656967,-2.4347690313859687
MapDist58,116.24967533198682,113.16044210695168,-3.0892332250351444
MapDist59,113.63801789915837,110.98024631948371,-2.657771579674659
MapDist60,118.41642242740842,115.14984884253872,-3.266573584869704
MapDist61,127.08886202262264,124.79664740313964,-2.2922146194829907
MapDist62,125.41642657267509,123.04466733924643,-2.371759233428662
MapDist63,127.45714872005077,124.98869651396748,-2.4684522060832848
MapDist64,126.3366229532082,123.51914539686052,-2.817477556347683
MapDist65,129.94744939878504,127.46451985727782,-2.482929541507218
MapDist66,125.5999376070257,122.56378944767627,-3.0361481593494233
MapDist67,126.13964427382808,123.80318651300325,-2.3364577608248283
MapDist68,126.7109301270668,124.16876459034263,-2.54216553672417
MapDist69,127.86184296198199,124.89852621866609,-2.9633167433159002
MapDist70,126.17620931934974,123.59416328897026,-2.5820460303794732
MapDist71,126.50492619150688,123.97193516683637,-2.5329910246705083
MapDist72,129.42721881232944,126.43928196676269,-2.9879368455667503
MapDist73,126.61211400221165,124.45755054381895,-2.154563458392701
MapDist74,129.57502392097865,127.10898576428613,-2.4660381566925196
MapDist75,127.7462606050454,124.66283132630198,-3.0834292787434237
MapDist76,128.50096518930664,125.40029632879106,-3.100668860515583
MapDist77,126.81265803949384,124.00307814979146,-2.809579889702377
MapDist78,128.45887634001053,125.49161954596678,-2.967256794043749
MapDist79,129.27944865936863,126.77944097579817,-2.500007683570459
MapDist80,126.92841393444291,123.75170885924419,-3.1767050751987256
MapDist81,126.55797975437135,124.59324460063353,-1.96473515373782
MapDist82,127.9360637843827,125.33076920233543,-2.6052945820472644
MapDist83,128.43638488959124,125.7622720505318,-2.6741128390594326
MapDist84,127.55650656817386,124.78200419666403,-2.7745023715098256
MapDist85,126.24281834714205,123.45713891870898,-2.7856794284330704
MapDist86,127.2281011415983,124.43522963976439,-2.7928715018339147
MapDist87,126.80738185655568,123.78925921562106,-3.018122640934621
MapDist88,128.12446355575952,125.48750949040083,-2.636954065358694
MapDist89,127.8945229642481,125.04080232305547,-2.8537206411926235
MapDist90,127.19899754138372,124.80176045975459,-2.397237081629129
